system,accuracy,root_accuracy,quality_accuracy,compatibility_rate,melody_pc_coverage,unique_chords,unique_chord_ratio,prediction_entropy,top3_accuracy
random_baseline,0.012763021731631597,0.07772795216741404,0.16775899735540992,0.5336322869955157,0.26905063048560807,71,0.008163734621133725,6.1450331989838105,
most_common_baseline,0.036334368172933194,0.08646659767736001,0.5268483385075313,0.5087961365988272,0.24472231804070368,1,0.00011498217776244682,-0.0,
extra_trees_conditioned,0.16258479935609982,0.24698171783373576,0.3804760262159365,0.9289410141428078,0.63239431221494,66,0.0075888237323214905,5.4438986627736075,0.39358399448085546
